t: 94510r: 2, x: 482.0000000000, p: 3.1330001354, v: 20.0012207031, d: 0.0126007696, a: 2.0000000000, dd: -0.2399999946, res: -2.9056007862
t: 94520r: 2, x: 481.0000000000, p: 3.1265001297, v: -20.0012207031, d: -0.0126007696, a: 2.0000000000, dd: -0.2399999946, res: -2.8738994598
t: 94530r: 2, x: 482.0000000000, p: 3.1330001354, v: -20.0012207031, d: -0.0126007696, a: 2.0000000000, dd: -0.2399999946, res: -2.8803994656
t: 94540r: 2, x: 481.0000000000, p: 3.1265001297, v: 20.0012207031, d: 0.0126007696, a: 2.0000000000, dd: -0.2399999946, res: -2.8991007805
t: 94550r: 2, x: 482.0000000000, p: 3.1330001354, v: 20.0012207031, d: 0.0126007696, a: 2.0000000000, dd: -0.2399999946, res: -2.9056007862
t: 94560r: 2, x: 481.0000000000, p: 3.1265001297, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8865001202
t: 94570r: 2, x: 482.0000000000, p: 3.1330001354, v: -20.0012207031, d: -0.0126007696, a: 2.0000000000, dd: -0.2399999946, res: -2.8803994656
t: 94580r: 2, x: 482.0000000000, p: 3.1330001354, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8930001259
t: 94590r: 2, x: 482.0000000000, p: 3.1330001354, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8930001259
t: 94600r: 2, x: 482.0000000000, p: 3.1330001354, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8930001259
t: 94610r: 2, x: 482.0000000000, p: 3.1330001354, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8930001259
t: 94620r: 2, x: 482.0000000000, p: 3.1330001354, v: 20.0012207031, d: 0.0126007696, a: 2.0000000000, dd: -0.2399999946, res: -2.9056007862
t: 94630r: 2, x: 481.0000000000, p: 3.1265001297, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8865001202
t: 94640r: 2, x: 482.0000000000, p: 3.1330001354, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8930001259
t: 94650r: 2, x: 481.0000000000, p: 3.1265001297, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8865001202
t: 94660r: 2, x: 481.0000000000, p: 3.1265001297, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8865001202
t: 94670r: 2, x: 482.0000000000, p: 3.1330001354, v: -20.0012207031, d: -0.0126007696, a: 2.0000000000, dd: -0.2399999946, res: -2.8803994656
t: 94680r: 2, x: 482.0000000000, p: 3.1330001354, v: -20.0012207031, d: -0.0126007696, a: 2.0000000000, dd: -0.2399999946, res: -2.8803994656
t: 94690r: 2, x: 481.0000000000, p: 3.1265001297, v: -20.0012207031, d: -0.0126007696, a: 2.0000000000, dd: -0.2399999946, res: -2.8738994598
t: 94700r: 2, x: 482.0000000000, p: 3.1330001354, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8930001259
t: 94710r: 2, x: 482.0000000000, p: 3.1330001354, v: -20.0012207031, d: -0.0126007696, a: 2.0000000000, dd: -0.2399999946, res: -2.8803994656
t: 94720r: 2, x: 482.0000000000, p: 3.1330001354, v: 20.0012207031, d: 0.0126007696, a: 2.0000000000, dd: -0.2399999946, res: -2.9056007862
